,datetime,open,high,low,close,volume
0,2022-01-03 05:00:00+00:00,177.83,182.88,177.71,182.01,112486091.0
1,2022-01-04 05:00:00+00:00,182.64,182.94,179.12,179.7,106090378.0
2,2022-01-05 05:00:00+00:00,179.61,180.17,174.64,174.92,95142198.0
3,2022-01-06 05:00:00+00:00,172.7,175.3,171.64,172.0,103899632.0
4,2022-01-07 05:00:00+00:00,172.89,174.14,171.03,172.17,94554334.0
5,2022-01-10 05:00:00+00:00,169.08,172.5,168.17,172.19,117005143.0
6,2022-01-11 05:00:00+00:00,172.32,175.18,170.82,175.08,82100070.0
7,2022-01-12 05:00:00+00:00,176.12,177.18,174.82,175.53,79502421.0
8,2022-01-13 05:00:00+00:00,175.79,176.62,171.79,172.19,92057866.0
9,2022-01-14 05:00:00+00:00,171.34,173.78,171.09,173.07,87780214.0
10,2022-01-18 05:00:00+00:00,171.51,172.54,169.405,169.8,102183802.0
11,2022-01-19 05:00:00+00:00,170.0,171.08,165.94,166.23,101688620.0
12,2022-01-20 05:00:00+00:00,166.98,169.68,164.18,164.51,96630645.0
13,2022-01-21 05:00:00+00:00,164.415,166.33,162.3,162.41,135494794.0
14,2022-01-24 05:00:00+00:00,160.02,162.3,154.7,161.62,175317276.0
15,2022-01-25 05:00:00+00:00,158.98,162.76,157.02,159.78,125389277.0
16,2022-01-26 05:00:00+00:00,163.5,164.3894,157.82,159.69,116338085.0
17,2022-01-27 05:00:00+00:00,162.45,163.84,158.28,159.22,127009128.0
18,2022-01-28 05:00:00+00:00,165.71,170.35,162.8,170.33,189144340.0
19,2022-01-31 05:00:00+00:00,170.16,175.0,169.51,174.78,129780591.0
20,2022-02-01 05:00:00+00:00,174.01,174.84,172.31,174.61,93258667.0
21,2022-02-02 05:00:00+00:00,174.745,175.88,173.33,175.84,91306986.0
22,2022-02-03 05:00:00+00:00,174.48,176.2399,172.12,172.9,101382628.0
23,2022-02-04 05:00:00+00:00,171.68,174.1,170.68,172.39,88456689.0
24,2022-02-07 05:00:00+00:00,172.86,173.9458,170.95,171.66,83181695.0
25,2022-02-08 05:00:00+00:00,171.73,175.35,171.43,174.83,80979959.0
26,2022-02-09 05:00:00+00:00,176.05,176.65,174.9,176.28,78287149.0
27,2022-02-10 05:00:00+00:00,174.14,175.48,171.55,172.12,99694816.0
28,2022-02-11 05:00:00+00:00,172.33,173.08,168.04,168.64,106268657.0
29,2022-02-14 05:00:00+00:00,167.37,169.58,166.56,168.88,98885501.0
30,2022-02-15 05:00:00+00:00,170.97,172.95,170.25,172.79,71066887.0
31,2022-02-16 05:00:00+00:00,171.85,173.34,170.05,172.55,66147855.0
32,2022-02-17 05:00:00+00:00,171.03,171.91,168.47,168.88,78321659.0
33,2022-02-18 05:00:00+00:00,169.82,170.5413,166.19,167.3,92631965.0
34,2022-02-22 05:00:00+00:00,164.98,166.69,162.15,164.32,98811382.0
35,2022-02-23 05:00:00+00:00,165.54,166.15,159.75,160.24,98884474.0
36,2022-02-24 05:00:00+00:00,152.58,162.85,152.0,162.51,155570846.0
37,2022-02-25 05:00:00+00:00,163.84,165.12,160.8738,164.85,97758401.0
38,2022-02-28 05:00:00+00:00,163.06,165.42,162.43,165.12,108908921.0
39,2022-03-01 05:00:00+00:00,164.695,166.6,161.97,163.2,90604732.0
40,2022-03-02 05:00:00+00:00,164.39,167.36,162.95,166.56,88692844.0
41,2022-03-03 05:00:00+00:00,168.47,168.91,165.55,166.23,82418843.0
42,2022-03-04 05:00:00+00:00,164.49,165.55,162.1,163.17,91169381.0
43,2022-03-07 05:00:00+00:00,163.36,165.02,159.04,159.3,107385155.0
44,2022-03-08 05:00:00+00:00,158.82,162.88,155.8,157.44,140524583.0
45,2022-03-09 05:00:00+00:00,161.475,163.41,159.41,162.95,100505467.0
46,2022-03-10 05:00:00+00:00,160.2,160.39,155.98,158.52,114471979.0
47,2022-03-11 05:00:00+00:00,158.93,159.28,154.5,154.73,105127762.0
48,2022-03-14 04:00:00+00:00,151.45,154.12,150.1,150.62,118311989.0
49,2022-03-15 04:00:00+00:00,150.9,155.57,150.38,155.09,104410428.0
50,2022-03-16 04:00:00+00:00,157.05,160.0,154.46,159.59,112719986.0
51,2022-03-17 04:00:00+00:00,158.61,161.0,157.63,160.62,85152570.0
52,2022-03-18 04:00:00+00:00,160.51,164.48,159.76,163.98,159428842.0
53,2022-03-21 04:00:00+00:00,163.51,166.35,163.015,165.38,105787821.0
54,2022-03-22 04:00:00+00:00,165.51,169.42,164.91,168.82,89161727.0
55,2022-03-23 04:00:00+00:00,167.99,172.64,167.65,170.21,106073373.0
56,2022-03-24 04:00:00+00:00,171.06,174.14,170.21,174.07,97014668.0
57,2022-03-25 04:00:00+00:00,173.88,175.28,172.75,174.72,85692924.0
58,2022-03-28 04:00:00+00:00,172.17,175.73,172.0,175.6,97532618.0
59,2022-03-29 04:00:00+00:00,176.69,179.01,176.34,178.96,109295753.0
60,2022-03-30 04:00:00+00:00,178.55,179.61,176.7,177.77,100735340.0
61,2022-03-31 04:00:00+00:00,177.84,178.03,174.4,174.61,120024146.0
62,2022-04-01 04:00:00+00:00,174.03,174.88,171.94,174.31,85355694.0
63,2022-04-04 04:00:00+00:00,174.57,178.49,174.44,178.44,82875862.0
64,2022-04-05 04:00:00+00:00,177.5,178.3,174.415,175.06,79568643.0
65,2022-04-06 04:00:00+00:00,172.36,173.63,170.13,171.83,90320928.0
66,2022-04-07 04:00:00+00:00,171.16,173.36,169.85,172.14,78193123.0
67,2022-04-08 04:00:00+00:00,171.78,171.78,169.2,170.09,82763655.0
68,2022-04-11 04:00:00+00:00,168.71,169.03,165.5,165.75,73137070.0
69,2022-04-12 04:00:00+00:00,168.02,169.87,166.64,167.66,83662778.0
70,2022-04-13 04:00:00+00:00,167.39,171.04,166.77,170.4,76146104.0
71,2022-04-14 04:00:00+00:00,170.62,171.27,165.04,165.29,84603285.0
72,2022-04-18 04:00:00+00:00,163.92,166.5984,163.57,165.07,74493604.0
73,2022-04-19 04:00:00+00:00,165.02,167.82,163.91,167.4,75240221.0
74,2022-04-20 04:00:00+00:00,168.76,168.88,166.1,167.23,73954306.0
75,2022-04-21 04:00:00+00:00,168.91,171.53,165.91,166.42,93153701.0
76,2022-04-22 04:00:00+00:00,166.46,167.8699,161.5,161.79,93535037.0
77,2022-04-25 04:00:00+00:00,161.12,163.17,158.46,162.88,103208936.0
78,2022-04-26 04:00:00+00:00,162.25,162.34,156.72,156.8,103931474.0
79,2022-04-27 04:00:00+00:00,155.91,159.79,155.38,156.57,93914037.0
80,2022-04-28 04:00:00+00:00,159.25,164.515,158.93,163.64,137705209.0
81,2022-04-29 04:00:00+00:00,161.84,166.2,157.25,157.65,145654913.0
82,2022-05-02 04:00:00+00:00,156.71,158.23,153.27,157.96,131337354.0
83,2022-05-03 04:00:00+00:00,158.15,160.71,156.32,159.48,93684416.0
84,2022-05-04 04:00:00+00:00,159.67,166.48,159.26,166.02,114719225.0
85,2022-05-05 04:00:00+00:00,163.85,164.08,154.95,156.77,142675572.0
86,2022-05-06 04:00:00+00:00,156.01,159.44,154.18,157.28,123877861.0
87,2022-05-09 04:00:00+00:00,154.925,155.83,151.49,152.06,132603947.0
88,2022-05-10 04:00:00+00:00,155.52,156.74,152.93,154.51,124055409.0
89,2022-05-11 04:00:00+00:00,153.5,155.45,145.81,146.5,151719835.0
90,2022-05-12 04:00:00+00:00,142.77,146.2,138.8,142.56,192047663.0
91,2022-05-13 04:00:00+00:00,144.59,148.105,143.11,147.11,114797304.0
92,2022-05-16 04:00:00+00:00,145.55,147.5199,144.18,145.54,91824708.0
93,2022-05-17 04:00:00+00:00,148.86,149.77,146.68,149.24,79304491.0
94,2022-05-18 04:00:00+00:00,146.85,147.3601,139.9,140.82,121266806.0
95,2022-05-19 04:00:00+00:00,139.88,141.66,136.6,137.35,142802096.0
96,2022-05-20 04:00:00+00:00,139.09,140.7,132.61,137.59,147016057.0
97,2022-05-23 04:00:00+00:00,137.79,143.26,137.65,143.11,125077087.0
98,2022-05-24 04:00:00+00:00,140.805,141.97,137.33,140.36,109813351.0
