,datetime,open,high,low,close,volume
0,2021-01-04 05:00:00+00:00,133.52,133.6116,126.76,129.41,158211374.0
1,2021-01-05 05:00:00+00:00,128.89,131.74,128.43,131.01,105863439.0
2,2021-01-06 05:00:00+00:00,127.72,131.0499,126.382,126.66,165568781.0
3,2021-01-07 05:00:00+00:00,128.36,131.63,127.86,130.92,118743769.0
4,2021-01-08 05:00:00+00:00,132.43,132.63,130.23,132.05,112696090.0
5,2021-01-11 05:00:00+00:00,129.19,130.17,128.5,128.98,110450551.0
6,2021-01-12 05:00:00+00:00,128.5,129.69,126.86,128.8,97558551.0
7,2021-01-13 05:00:00+00:00,128.76,131.45,128.49,130.89,96442760.0
8,2021-01-14 05:00:00+00:00,130.8,131.0,128.76,128.91,97691724.0
9,2021-01-15 05:00:00+00:00,128.83,130.2242,127.0,127.14,128048933.0
10,2021-01-19 05:00:00+00:00,127.78,128.71,126.938,127.83,98953322.0
11,2021-01-20 05:00:00+00:00,128.66,132.49,128.55,132.03,113947702.0
12,2021-01-21 05:00:00+00:00,133.8,139.67,133.59,136.87,127940803.0
13,2021-01-22 05:00:00+00:00,136.28,139.85,135.02,139.07,121203430.0
14,2021-01-25 05:00:00+00:00,143.07,145.09,136.54,142.92,164986731.0
15,2021-01-26 05:00:00+00:00,143.6,144.3,141.37,143.16,103714054.0
16,2021-01-27 05:00:00+00:00,143.43,144.3,140.41,142.06,152725672.0
17,2021-01-28 05:00:00+00:00,139.52,141.99,136.7,137.09,152449730.0
18,2021-01-29 05:00:00+00:00,135.83,136.74,130.21,131.96,187694057.0
19,2021-02-01 05:00:00+00:00,133.75,135.38,130.93,134.1,114159323.0
20,2021-02-02 05:00:00+00:00,135.73,136.31,134.61,134.99,89799845.0
21,2021-02-03 05:00:00+00:00,135.76,135.77,133.61,133.94,96429152.0
22,2021-02-04 05:00:00+00:00,136.3,137.4,134.59,137.39,90780419.0
23,2021-02-05 05:00:00+00:00,137.35,137.42,135.86,136.76,80015037.0
24,2021-02-08 05:00:00+00:00,136.03,136.96,134.92,136.91,76760213.0
25,2021-02-09 05:00:00+00:00,136.62,137.877,135.85,136.01,81202869.0
26,2021-02-10 05:00:00+00:00,136.48,136.99,134.4,135.39,77577773.0
27,2021-02-11 05:00:00+00:00,135.9,136.39,133.77,135.13,68440629.0
28,2021-02-12 05:00:00+00:00,134.34,135.53,133.6921,135.37,65213313.0
29,2021-02-16 05:00:00+00:00,135.46,136.01,132.79,133.19,86485313.0
30,2021-02-17 05:00:00+00:00,131.25,132.22,129.47,130.84,103369066.0
31,2021-02-18 05:00:00+00:00,129.2,129.995,127.41,129.71,102110455.0
32,2021-02-19 05:00:00+00:00,130.24,130.71,128.8,129.87,95894715.0
33,2021-02-22 05:00:00+00:00,128.01,129.72,125.6,126.0,111809173.0
34,2021-02-23 05:00:00+00:00,123.76,126.71,118.39,125.86,164346364.0
35,2021-02-24 05:00:00+00:00,124.94,125.56,122.23,125.35,117486364.0
36,2021-02-25 05:00:00+00:00,124.68,126.4585,120.54,121.0,156694180.0
37,2021-02-26 05:00:00+00:00,122.58,124.85,121.2,121.26,182034189.0
38,2021-03-01 05:00:00+00:00,123.75,127.93,122.79,127.79,125589785.0
39,2021-03-02 05:00:00+00:00,128.4,128.72,125.01,125.12,109652943.0
40,2021-03-03 05:00:00+00:00,124.81,125.71,121.84,122.06,121248253.0
41,2021-03-04 05:00:00+00:00,121.75,123.6,118.62,120.13,185434303.0
42,2021-03-05 05:00:00+00:00,120.98,121.935,117.57,121.42,161638253.0
43,2021-03-08 05:00:00+00:00,120.93,121.0,116.21,116.36,163528340.0
44,2021-03-09 05:00:00+00:00,119.03,122.06,118.79,121.085,140118332.0
45,2021-03-10 05:00:00+00:00,121.69,122.17,119.45,119.98,117237978.0
46,2021-03-11 05:00:00+00:00,122.54,123.21,121.26,121.96,110029338.0
47,2021-03-12 05:00:00+00:00,120.4,121.17,119.16,121.05,92882164.0
48,2021-03-15 04:00:00+00:00,121.41,124.0,120.42,123.99,101152740.0
49,2021-03-16 04:00:00+00:00,125.7,127.22,124.715,125.57,120079103.0
50,2021-03-17 04:00:00+00:00,124.05,125.8599,122.336,124.76,119061026.0
51,2021-03-18 04:00:00+00:00,122.88,123.18,120.32,120.53,131210927.0
52,2021-03-19 04:00:00+00:00,119.9,121.43,119.675,119.99,240162615.0
53,2021-03-22 04:00:00+00:00,120.33,123.87,120.26,123.39,122779025.0
54,2021-03-23 04:00:00+00:00,123.33,124.24,122.14,122.54,103620192.0
55,2021-03-24 04:00:00+00:00,122.82,122.9,120.065,120.09,94149863.0
56,2021-03-25 04:00:00+00:00,119.54,121.66,119.0,120.59,105125706.0
57,2021-03-26 04:00:00+00:00,120.35,121.48,118.92,121.21,100931995.0
58,2021-03-29 04:00:00+00:00,121.65,122.58,120.7299,121.39,86216952.0
59,2021-03-30 04:00:00+00:00,120.11,120.4031,118.86,119.9,91640500.0
60,2021-03-31 04:00:00+00:00,121.65,123.52,121.15,122.15,133199283.0
61,2021-04-01 04:00:00+00:00,123.66,124.18,122.49,123.0,80479798.0
62,2021-04-05 04:00:00+00:00,123.87,126.1601,123.07,125.9,94661534.0
63,2021-04-06 04:00:00+00:00,126.5,127.13,125.65,126.21,86151139.0
64,2021-04-07 04:00:00+00:00,125.83,127.92,125.14,127.9,88153365.0
65,2021-04-08 04:00:00+00:00,128.95,130.39,128.52,130.36,95035670.0
66,2021-04-09 04:00:00+00:00,129.8,133.04,129.47,132.995,112957134.0
67,2021-04-12 04:00:00+00:00,132.52,132.85,130.63,131.24,92576672.0
68,2021-04-13 04:00:00+00:00,132.44,134.66,131.93,134.43,92369073.0
69,2021-04-14 04:00:00+00:00,134.94,135.0,131.655,132.03,93010442.0
70,2021-04-15 04:00:00+00:00,133.82,135.0,133.64,134.5,90094951.0
71,2021-04-16 04:00:00+00:00,134.3,134.67,133.28,134.16,84805117.0
72,2021-04-19 04:00:00+00:00,133.51,135.47,133.34,134.84,94957774.0
73,2021-04-20 04:00:00+00:00,135.06,135.53,131.81,133.11,95538041.0
74,2021-04-21 04:00:00+00:00,132.36,133.75,131.3001,133.5,69552331.0
75,2021-04-22 04:00:00+00:00,133.04,134.15,131.41,131.94,89780577.0
76,2021-04-23 04:00:00+00:00,132.16,135.12,132.16,134.32,84888565.0
77,2021-04-26 04:00:00+00:00,134.83,135.06,133.56,134.72,73315093.0
78,2021-04-27 04:00:00+00:00,135.01,135.41,134.11,134.39,70356442.0
79,2021-04-28 04:00:00+00:00,134.31,135.02,133.08,133.58,111769456.0
80,2021-04-29 04:00:00+00:00,136.47,137.07,132.45,133.48,157181673.0
81,2021-04-30 04:00:00+00:00,131.78,133.56,131.065,131.46,118162269.0
82,2021-05-03 04:00:00+00:00,132.04,134.07,131.83,132.54,79773508.0
83,2021-05-04 04:00:00+00:00,131.19,131.4899,126.7,127.85,146034858.0
84,2021-05-05 04:00:00+00:00,129.2,130.45,127.97,128.1,88488165.0
85,2021-05-06 04:00:00+00:00,127.89,129.75,127.13,129.74,78807021.0
86,2021-05-07 04:00:00+00:00,130.85,131.2582,129.475,130.21,85342759.0
87,2021-05-10 04:00:00+00:00,129.41,129.54,126.81,126.85,88933496.0
88,2021-05-11 04:00:00+00:00,123.5,126.27,122.77,125.91,133807591.0
89,2021-05-12 04:00:00+00:00,123.4,124.64,122.25,122.77,113210244.0
90,2021-05-13 04:00:00+00:00,124.58,126.15,124.26,124.97,107081045.0
91,2021-05-14 04:00:00+00:00,126.25,127.89,125.85,127.45,90601277.0
92,2021-05-17 04:00:00+00:00,126.82,126.93,125.17,126.27,80528553.0
93,2021-05-18 04:00:00+00:00,126.56,126.99,124.78,124.85,69129296.0
